modelo;año;precio;transmision;kilometraje;tipo_combustible;impuesto_circulacion;mpg;tamaño_motor
 GT86;2017.0;19500.0;Manual;9639.0;Petrol;260.0;36.2;2.0
 GT86;2017.0;18250.0;Manual;20219.0;Petrol;145.0;36.2;2.0
 GT86;2019.0;23995.0;Manual;1557.0;Petrol;150.0;33.2;2.0
 GT86;2016.0;17500.0;Manual;14000.0;Petrol;260.0;36.2;2.0
 GT86;2019.0;23997.0;Manual;4500.0;Petrol;145.0;33.2;2.0
 GT86;2017.0;17102.0;Manual;21000.0;Petrol;260.0;36.2;2.0
 GT86;2019.0;24995.0;Manual;2488.0;Petrol;145.0;33.2;2.0
 GT86;2017.0;19995.0;Manual;26000.0;Petrol;145.0;36.2;2.0
 GT86;2020.0;29769.0;Manual;999.0;Petrol;145.0;33.2;2.0
 GT86;2019.0;25850.0;Manual;4442.0;Petrol;145.0;33.2;2.0
 GT86;2014.0;13495.0;Manual;24667.0;Petrol;265.0;36.2;2.0
 GT86;2017.0;18495.0;Semi_Auto;13930.0;Petrol;150.0;39.8;2.0
 GT86;2020.0;25499.0;Manual;614.0;Petrol;145.0;33.2;2.0
 GT86;2017.0;18621.0;Manual;18544.0;Petrol;150.0;36.2;2.0
 GT86;2019.0;25121.0;Manual;7056.0;Petrol;145.0;33.2;2.0
 GT86;2017.0;17500.0;Manual;11898.0;Petrol;145.0;36.2;2.0
 GT86;2013.0;11599.0;Automatic;28335.0;Petrol;200.0;39.8;2.0
 GT86;2017.0;17249.0;Manual;10089.0;Petrol;145.0;36.2;2.0
 GT86;2020.0;25995.0;Manual;3250.0;Petrol;145.0;33.2;2.0
 GT86;2014.0;13000.0;Manual;39761.0;Petrol;265.0;36.2;2.0
 GT86;2017.0;17250.0;Manual;19420.0;Petrol;145.0;36.2;2.0
 GT86;2019.0;27950.0;Manual;489.0;Petrol;145.0;33.2;2.0
 GT86;2020.0;27995.0;Manual;1055.0;Petrol;145.0;33.2;2.0
 GT86;2016.0;13999.0;Manual;19987.0;Petrol;260.0;36.2;2.0
 GT86;2012.0;9995.0;Automatic;74599.0;Petrol;200.0;39.8;2.0
 GT86;2015.0;10499.0;Automatic;81206.0;Petrol;200.0;39.8;2.0
 GT86;2012.0;11995.0;Manual;53000.0;Petrol;250.0;36.2;2.0
 GT86;2015.0;13495.0;Manual;49000.0;Petrol;265.0;36.2;2.0
 GT86;2019.0;24990.0;Automatic;4000.0;Petrol;145.0;32.8;2.0
 GT86;2017.0;19500.0;Manual;6725.0;Petrol;145.0;36.2;2.0
 GT86;2020.0;28000.0;Manual;650.0;Petrol;145.0;33.2;2.0
;;;;;;;;
 Corolla;2005.0;1300.0;Manual;129000.0;Petrol;260.0;36.7;1.8
 Corolla;2019.0;20250.0;Automatic;7445.0;Hybrid;140.0;85.6;1.8
 Corolla;2020.0;26980.0;Automatic;5000.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;21995.0;Automatic;8789.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;18995.0;Manual;2193.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22498.0;Automatic;9798.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;20998.0;Automatic;8442.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;27990.0;Automatic;3650.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22520.0;Automatic;7666.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;17440.0;Manual;6346.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22990.0;Automatic;9000.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;25570.0;Automatic;3196.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;19998.0;Automatic;1992.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;23990.0;Automatic;9500.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;19995.0;Automatic;12158.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;24995.0;Automatic;5500.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;24995.0;Automatic;1350.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;23440.0;Automatic;5000.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;21990.0;Automatic;9278.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;20990.0;Automatic;5000.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;19990.0;Automatic;10500.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21995.0;Automatic;9100.0;Hybrid;135.0;58.9;1.8
 Corolla;2019.0;22070.0;Automatic;9304.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;22490.0;Automatic;9500.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;15990.0;Manual;3500.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21998.0;Automatic;9023.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22075.0;Automatic;9684.0;Hybrid;135.0;85.6;1.8
 Corolla;2020.0;28990.0;Automatic;2000.0;Hybrid;140.0;53.3;2.0
 Corolla;2019.0;16995.0;Manual;6503.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;18498.0;Manual;5087.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;25995.0;Automatic;1751.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;24998.0;Automatic;6195.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;23500.0;Automatic;4720.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;21750.0;Automatic;2839.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21000.0;Automatic;11408.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;23000.0;Automatic;6788.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;25000.0;Automatic;2430.0;Hybrid;140.0;78.5;1.8
 Corolla;2019.0;23000.0;Automatic;3579.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;24000.0;Automatic;6415.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22500.0;Automatic;9493.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;22790.0;Automatic;5830.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22790.0;Automatic;9781.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;21490.0;Automatic;8950.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;17250.0;Manual;12000.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;15998.0;Manual;7016.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;20498.0;Automatic;13872.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;15990.0;Manual;2336.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;20488.0;Automatic;3892.0;Hybrid;140.0;58.9;1.8
 Corolla;2019.0;20288.0;Manual;4886.0;Petrol;150.0;39.2;1.2
 Corolla;2019.0;17995.0;Manual;9770.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;16490.0;Manual;8599.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;15990.0;Manual;5346.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;18290.0;Manual;3250.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;19998.0;Manual;4290.0;Petrol;150.0;39.2;1.2
 Corolla;2019.0;23888.0;Automatic;3497.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;15990.0;Manual;6449.0;Petrol;145.0;39.2;1.2
 Corolla;2020.0;27495.0;Automatic;998.0;Hybrid;135.0;53.3;2.0
 Corolla;2019.0;23448.0;Automatic;3988.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22990.0;Automatic;5268.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;18295.0;Manual;1110.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;18995.0;Manual;1436.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21490.0;Automatic;9296.0;Hybrid;135.0;58.9;1.8
 Corolla;2019.0;22790.0;Automatic;8322.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;17490.0;Manual;9000.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;24388.0;Automatic;8000.0;Hybrid;135.0;72.4;2.0
 Corolla;2020.0;25988.0;Automatic;10000.0;Hybrid;135.0;53.3;2.0
 Corolla;2019.0;16490.0;Manual;8328.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21790.0;Automatic;10836.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;16490.0;Manual;4890.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;24790.0;Automatic;5651.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;21490.0;Automatic;9735.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;18495.0;Manual;8514.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;18495.0;Manual;4774.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;24995.0;Automatic;7500.0;Hybrid;140.0;58.9;1.8
 Corolla;2019.0;16995.0;Manual;3000.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22790.0;Automatic;12501.0;Hybrid;135.0;72.4;2.0
 Corolla;2020.0;25990.0;Automatic;6124.0;Hybrid;135.0;53.3;2.0
 Corolla;2019.0;21490.0;Automatic;10124.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21490.0;Automatic;9107.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;23698.0;Automatic;2535.0;Hybrid;135.0;72.4;2.0
 Corolla;2020.0;22990.0;Automatic;2797.0;Hybrid;135.0;62.8;1.8
 Corolla;2020.0;26490.0;Automatic;1879.0;Hybrid;135.0;53.3;2.0
 Corolla;2020.0;25490.0;Automatic;1697.0;Hybrid;135.0;56.5;1.8
 Corolla;2019.0;22990.0;Automatic;13410.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;19990.0;Manual;4332.0;Petrol;150.0;39.2;1.2
 Corolla;2019.0;20990.0;Manual;8503.0;Petrol;150.0;39.2;1.2
 Corolla;2019.0;17890.0;Manual;3695.0;Petrol;150.0;39.2;1.2
 Corolla;2019.0;18995.0;Manual;2579.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;17990.0;Manual;6057.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;18690.0;Manual;2907.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;16990.0;Manual;7134.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;16990.0;Manual;25.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22727.0;Automatic;4451.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;20995.0;Automatic;5668.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;20995.0;Automatic;5250.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;22290.0;Automatic;4633.0;Hybrid;140.0;78.5;1.8
 Corolla;2019.0;16490.0;Manual;9625.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;19790.0;Automatic;5804.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;15790.0;Manual;10000.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;17480.0;Manual;9999.0;Petrol;145.0;39.2;1.2
 Corolla;2020.0;24980.0;Automatic;5000.0;Hybrid;135.0;57.7;1.8
 Corolla;2019.0;18990.0;Manual;3860.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21495.0;Automatic;9004.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;17960.0;Manual;4500.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;17960.0;Manual;4500.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;23995.0;Automatic;5784.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;17995.0;Manual;6551.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;24795.0;Automatic;6770.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;18995.0;Manual;500.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;19995.0;Manual;500.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22595.0;Automatic;10500.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;25595.0;Automatic;1215.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;23445.0;Automatic;5558.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;23395.0;Automatic;6125.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;23445.0;Automatic;2620.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;24998.0;Automatic;2474.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;23498.0;Automatic;6513.0;Hybrid;140.0;78.5;1.8
 Corolla;2019.0;23995.0;Automatic;6989.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22995.0;Automatic;11000.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;22995.0;Automatic;3754.0;Hybrid;135.0;78.5;1.8
 Corolla;2020.0;28815.0;Automatic;987.0;Hybrid;140.0;53.3;2.0
 Corolla;2019.0;19995.0;Automatic;11293.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;19995.0;Automatic;5674.0;Hybrid;140.0;85.6;1.8
 Corolla;2019.0;23995.0;Automatic;9250.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;23495.0;Manual;5600.0;Petrol;145.0;39.2;1.2
 Corolla;2020.0;27995.0;Automatic;2500.0;Hybrid;135.0;53.3;2.0
 Corolla;2019.0;21000.0;Automatic;11449.0;Hybrid;140.0;78.5;1.8
 Corolla;2020.0;28000.0;Automatic;10.0;Hybrid;140.0;56.5;1.8
 Corolla;2019.0;17999.0;Manual;3510.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;20497.0;Automatic;4412.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;23500.0;Automatic;10016.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;21665.0;Automatic;11051.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21280.0;Manual;5102.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;24960.0;Automatic;2535.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;19540.0;Manual;8970.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;20110.0;Automatic;5922.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;23060.0;Automatic;15631.0;Hybrid;135.0;72.4;2.0
 Corolla;2020.0;26991.0;Automatic;3636.0;Hybrid;140.0;53.3;2.0
 Corolla;2019.0;22900.0;Automatic;5910.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;24025.0;Automatic;8812.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;26495.0;Automatic;1000.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;27795.0;Automatic;1000.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22999.0;Automatic;4113.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21999.0;Automatic;8171.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;19990.0;Manual;3422.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;19900.0;Manual;6522.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22000.0;Automatic;11478.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;19290.0;Manual;10011.0;Petrol;150.0;39.2;1.2
 Corolla;2019.0;19995.0;Manual;7777.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;23888.0;Automatic;14417.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;22495.0;Automatic;2034.0;Hybrid;140.0;78.5;1.8
 Corolla;2020.0;28495.0;Automatic;2141.0;Hybrid;140.0;56.5;1.8
 Corolla;2019.0;25195.0;Automatic;3998.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;21495.0;Automatic;10420.0;Hybrid;140.0;85.6;1.8
 Corolla;2019.0;21790.0;Automatic;10120.0;Hybrid;140.0;78.5;1.8
 Corolla;2020.0;24995.0;Automatic;3989.0;Hybrid;135.0;57.7;1.8
 Corolla;2020.0;22995.0;Automatic;636.0;Hybrid;135.0;62.8;1.8
 Corolla;2019.0;26995.0;Automatic;3000.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;21995.0;Automatic;9333.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;17495.0;Manual;999.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22050.0;Automatic;12000.0;Hybrid;135.0;72.4;2.0
 Corolla;2020.0;28795.0;Automatic;1544.0;Hybrid;135.0;53.3;2.0
 Corolla;2020.0;20692.0;Manual;7345.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21495.0;Automatic;20657.0;Hybrid;140.0;85.6;1.8
 Corolla;2019.0;22514.0;Automatic;8309.0;Hybrid;135.0;78.5;1.8
 Corolla;2020.0;29450.0;Automatic;943.0;Hybrid;135.0;53.3;2.0
 Corolla;2020.0;26950.0;Automatic;3168.0;Hybrid;135.0;53.3;2.0
 Corolla;2020.0;24995.0;Automatic;2136.0;Hybrid;135.0;56.5;1.8
 Corolla;2019.0;23000.0;Automatic;6158.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;20689.0;Automatic;7963.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;19219.0;Manual;384.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21991.0;Automatic;5000.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;22980.0;Automatic;3459.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;15291.0;Manual;7317.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22780.0;Automatic;9980.0;Hybrid;135.0;72.4;2.0
 Corolla;2020.0;19495.0;Manual;4568.0;Petrol;150.0;39.2;1.2
 Corolla;2019.0;18991.0;Automatic;7000.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;19291.0;Automatic;13998.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;23505.0;Automatic;9264.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;17865.0;Manual;17197.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;20499.0;Automatic;4942.0;Hybrid;135.0;85.6;1.8
 Corolla;2020.0;27893.0;Automatic;3390.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22226.0;Automatic;9264.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;16821.0;Manual;6329.0;Petrol;145.0;39.2;1.2
 Corolla;2020.0;25998.0;Automatic;5000.0;Hybrid;140.0;53.3;2.0
 Corolla;2003.0;1495.0;Manual;89000.0;Petrol;235.0;39.2;1.6
 Corolla;2019.0;20995.0;Automatic;6834.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;17989.0;Manual;151.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;26999.0;Automatic;6500.0;Hybrid;140.0;72.4;2.0
 Corolla;2004.0;1250.0;Manual;111000.0;Petrol;260.0;37.2;1.8
 Corolla;2019.0;16495.0;Manual;5517.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;17995.0;Manual;3792.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;16495.0;Manual;5139.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;23995.0;Automatic;42.0;Hybrid;135.0;57.7;1.8
 Corolla;2020.0;25995.0;Automatic;100.0;Hybrid;135.0;53.3;2.0
 Corolla;2019.0;22250.0;Automatic;10932.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;19995.0;Automatic;14198.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;22485.0;Automatic;9111.0;Hybrid;140.0;78.5;1.8
 Corolla;2019.0;20985.0;Automatic;5372.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21999.0;Automatic;17095.0;Hybrid;140.0;72.4;2.0
 Corolla;2019.0;17999.0;Manual;20.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;17499.0;Manual;20.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;16299.0;Manual;18020.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21450.0;Automatic;9244.0;Hybrid;140.0;85.6;1.8
 Corolla;2019.0;20499.0;Automatic;10436.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;16491.0;Manual;15.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21450.0;Automatic;7899.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21450.0;Automatic;8908.0;Hybrid;135.0;78.5;1.8
 Corolla;2003.0;2195.0;Automatic;102000.0;Petrol;300.0;34.5;1.8
 Corolla;2019.0;21995.0;Automatic;4800.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;22691.0;Automatic;3698.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;15991.0;Manual;10.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;15991.0;Manual;10.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;23490.0;Automatic;8239.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;25495.0;Automatic;9317.0;Hybrid;135.0;85.6;1.8
 Corolla;2001.0;899.0;Automatic;76000.0;Petrol;300.0;35.3;1.6
 Corolla;2019.0;17790.0;Manual;15.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;17990.0;Manual;10.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;16990.0;Manual;10.0;Petrol;145.0;39.2;1.2
 Corolla;2008.0;4295.0;Manual;76300.0;Petrol;260.0;36.7;1.8
 Corolla;2019.0;19795.0;Automatic;7841.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;23395.0;Automatic;10513.0;Hybrid;140.0;85.6;1.8
 Corolla;2019.0;18700.0;Manual;6597.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;22700.0;Automatic;6289.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;16790.0;Manual;97.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;23700.0;Automatic;3628.0;Hybrid;135.0;72.4;2.0
 Corolla;2020.0;26700.0;Automatic;3675.0;Hybrid;135.0;53.3;2.0
 Corolla;2019.0;23650.0;Automatic;8087.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;21990.0;Automatic;12000.0;Hybrid;135.0;78.5;1.8
 Corolla;2020.0;19790.0;Manual;3000.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;20450.0;Automatic;8000.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;16200.0;Manual;3837.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21491.0;Automatic;3993.0;Hybrid;135.0;85.6;1.8
;;;;;;;;
 Corolla;2019.0;21850.0;Automatic;9300.0;Hybrid;135.0;58.9;1.8
 Corolla;2020.0;23550.0;Automatic;3000.0;Hybrid;135.0;58.9;1.8
 Corolla;2019.0;21991.0;Automatic;13000.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;22850.0;Automatic;9000.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;19990.0;Automatic;9968.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;19990.0;Automatic;10175.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;25650.0;Automatic;4000.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;21350.0;Automatic;15481.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;22990.0;Automatic;7000.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;22990.0;Automatic;6000.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;23650.0;Automatic;7000.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21990.0;Automatic;10055.0;Hybrid;135.0;78.5;1.8
 Corolla;2020.0;18990.0;Manual;3000.0;Petrol;145.0;39.2;1.2
 Corolla;2019.0;21500.0;Automatic;6610.0;Hybrid;135.0;85.6;1.8
 Corolla;2019.0;21690.0;Automatic;9823.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;22750.0;Automatic;9000.0;Hybrid;135.0;72.4;2.0
 Corolla;2019.0;22250.0;Automatic;8563.0;Hybrid;135.0;78.5;1.8
 Corolla;2019.0;24495.0;Automatic;2165.0;Hybrid;135.0;72.4;2.0
